Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
0,1941,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-26-a.wav,m,26,10-139-2-26-a.wav,milk ,10,bulverde,l,m,139,milch,mɪlç,ɪ,10-139-2-26-a,ɪ,0.190,0.246,0.056,0.209,109.95,437.80,1883.56,2550.46,0.228,112.61,438.38,1833.93,2574.45,5500 Hz,10,
1,1948,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-134-2-26-a.wav,f,26,9-134-2-26-a.wav,milk ,9,bulverde,l,m,134,milch,mɪlç,ɪ,9-134-2-26-a,ɪ,0.185,0.257,0.072,0.209,163.51,515.76,1867.81,2771.16,0.233,167.59,593.26,1532.97,2901.80,5500 Hz,10,
2,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-26-a.wav,f,26,9-151-1-26-a.wav,milk ,9,bulverde,l,m,151,milch,mɪlç,ɪ,9-151-1-26-a,ɪ,0.453,0.547,0.094,0.484,226.91,445.75,2072.67,2689.38,0.516,225.07,450.71,1908.02,2649.36,5500 Hz,10,
3,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-26-a.wav,m,26,9-153-1-26-a.wav,milk ,9,bulverde,l,m,153,milch,mɪlç,ɪ,9-153-1-26-a,ɪ,0.096,0.227,0.130,0.140,127.15,338.14,1608.51,2521.99,0.183,123.75,335.80,1590.57,2513.23,5500 Hz,10,
4,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-83-2-26-a.wav,f,26,9-83-2-26-a.wav,milk ,9,bulverde,l,m,83,milch,mɪlç,ɪ,9-83-2-26-a,ɪ,0.150,0.150,0,0.150,226.45,467.95,1761.94,2390.48,0.150,226.45,467.95,1761.94,2390.48,5500 Hz,10,
5,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/1-451-2-26-a.wav,f,26,1-451-2-26-a.wav,milk ,1,"columbus, tx",l,m,451,milch,mɪlç,ɪ,1-451-2-26-a,ɪ,0.251,0.347,0.096,0.283,91.36,637.15,1948.98,2749.74,0.315,99.95,372.27,1413.17,2830.46,5500 Hz,10,
6,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/120-449-2-26-a.wav,f,26,120-449-2-26-a.wav,milk ,120,columbus,l,m,449,milch,mɪlç,ɪ,120-449-2-26-a,ɪ,0.373,0.435,0.063,0.393,183.07,374.26,2338.32,2947.45,0.414,180.23,390.21,2352.52,2868.99,5500 Hz,10,
7,1926,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/121-453-2-26-a.wav,f,26,121-453-2-26-a.wav,milk ,121,columbus,l,m,453,milch,mɪlç,ɪ,121-453-2-26-a,ɪ,0.519,0.586,0.067,0.541,209.58,446.74,2056.35,2122.78,0.564,204.47,419.90,1997.24,2601.92,5500 Hz,10,
8,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-26-a.wav,m,26,1-141-2-26-a.wav,milk ,1,comfort,l,m,141,milch,mɪlç,ɪ,1-141-2-26-a,ɪ,0.076,0.172,0.097,0.108,83.04,561.17,1931.97,2516.56,0.140,--undefined--,533.70,1733.64,2478.77,5500 Hz,10,
9,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-142-2-26-a.wav,m,26,1-142-2-26-a.wav,milk ,1,comfort,l,m,142,milch,mɪlç,ɪ,1-142-2-26-a,ɪ,0.352,0.478,0.126,0.394,103.18,467.33,1914.11,2639.11,0.436,104.64,478.03,1765.22,2624.19,5500 Hz,10,
