Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
0,1941,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-74-a.wav,m,74,10-139-2-74-a.wav,the honey ,10,bulverde,ç,n,139,der honig,deːɐ̯ ˈhoːnɪç,ɪ,10-139-2-74-a,ɪ,0.547,0.611,0.065,0.568,94.06,501.72,2258.60,2619.31,0.590,101.42,399.15,2230.13,2430.96,5500 Hz,10,
1,1948,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-134-2-74-a.wav,f,74,9-134-2-74-a.wav,the honey ,9,bulverde,ç,n,134,der honig,deːɐ̯ ˈhoːnɪç,ɪ,9-134-2-74-a,ɪ,1.207,1.286,0.080,1.233,--undefined--,653.12,1030.94,2761.22,1.260,--undefined--,595.22,1267.84,2861.16,5500 Hz,10,
2,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-74-a.wav,f,74,9-151-1-74-a.wav,the honey ,9,bulverde,ç,n,151,der honig,deːɐ̯ ˈhoːnɪç,ɪ,9-151-1-74-a,ɪ,0.751,0.830,0.080,0.777,189.31,572.21,2265.09,2881.96,0.804,174.13,560.24,2455.38,2904.09,5500 Hz,10,
3,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-74-a.wav,m,74,9-153-1-74-a.wav,the honey ,9,bulverde,ç,n,153,der honig,deːɐ̯ ˈhoːnɪç,ɪ,9-153-1-74-a,ɪ,0.605,0.693,0.088,0.634,116.78,334.28,1707.62,2434.05,0.664,121.60,895.52,2018.23,2688.54,5500 Hz,10,
4,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-83-2-74-a.wav,f,74,9-83-2-74-a.wav,the honey ,9,bulverde,ç,n,83,der honig,deːɐ̯ ˈhoːnɪç,ɪ,9-83-2-74-a,ɪ,0.790,0.860,0.070,0.813,122.11,551.59,2497.97,2766.36,0.837,121.39,510.72,2041.76,2849.73,5500 Hz,10,
5,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/120-449-2-74-a.wav,f,74,120-449-2-74-a.wav,the honey ,120,columbus,ç,n,449,der honig,deːɐ̯ ˈhoːnɪç,ɪ,120-449-2-74-a,ɪ,0.871,0.950,0.079,0.897,248.95,455.40,2282.96,2854.19,0.924,266.07,410.66,2215.59,2803.08,5500 Hz,10,
6,1926,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/121-453-2-74-a.wav,f,74,121-453-2-74-a.wav,the honey ,121,columbus,ç,n,453,der honig,deːɐ̯ ˈhoːnɪç,ɪ,121-453-2-74-a,ɪ,0.476,0.556,0.081,0.503,157.47,375.90,2394.39,2942.68,0.529,168.13,417.64,2536.04,2951.90,5500 Hz,10,
7,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-74-a.wav,m,74,1-141-2-74-a.wav,the honey ,1,comfort,ç,n,141,der honig,deːɐ̯ ˈhoːnɪç,ɪ,1-141-2-74-a,ɪ,0.384,0.456,0.072,0.408,136.91,537.80,1556.21,2408.58,0.432,136.22,541.11,2063.39,2501.75,5500 Hz,10,
8,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-142-2-74-a.wav,m,74,1-142-2-74-a.wav,the honey ,1,comfort,ç,n,142,der honig,deːɐ̯ ˈhoːnɪç,ɪ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-74-a.wav,m,74,10-147-1-74-a.wav,the honey ,10,comfort,ç,n,147,der honig,deːɐ̯ ˈhoːnɪç,ɪ,10-147-1-74-a,ɪ,0.328,0.415,0.086,0.357,166.09,473.70,1848.39,2303.82,0.386,171.28,445.57,1977.24,2405.13,5500 Hz,10,
10,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-149-1-74-a.wav,m,74,10-149-1-74-a.wav,the honey ,10,comfort,ç,n,149,der honig,deːɐ̯ ˈhoːnɪç,ɪ,10-149-1-74-a,ɪ,0.591,0.658,0.067,0.614,98.84,383.24,2450.06,2872.19,0.636,--undefined--,370.03,2514.57,2702.60,5500 Hz,10,
11,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/15-144-1-74-a.wav,m,74,15-144-1-74-a.wav,the honey ,15,comfort,ç,n,144,der honig,deːɐ̯ ˈhoːnɪç,ɪ,15-144-1-74-a,ɪ,0.419,0.502,0.083,0.447,--undefined--,675.75,2144.46,3007.70,0.474,--undefined--,669.28,2297.14,2841.66,5500 Hz,10,
12,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/15-145-1-74-a.wav,m,74,15-145-1-74-a.wav,the honey ,15,comfort,ç,n,145,der honig,deːɐ̯ ˈhoːnɪç,ɪ,15-145-1-74-a,ɪ,0.432,0.487,0.055,0.450,103.07,421.73,1676.88,2030.07,0.468,108.84,437.32,1962.83,2171.59,5500 Hz,10,
13,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/1-391-2-74-a.wav,m,74,1-391-2-74-a.wav,the honey ,1,converse,ç,n,391,der honig,deːɐ̯ ˈhoːnɪç,ɪ,1-391-2-74-a,ɪ,0.577,0.682,0.105,0.612,107.52,302.07,1987.92,2800.25,0.647,96.11,324.25,1998.22,2722.59,5500 Hz,10,"
1-391-2-74-a"
