Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
0,1941,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-111-a.wav,m,111,10-139-2-111-a.wav,a lightning bug (Lampyridae) ,10,bulverde,ʁ,v,139,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1948,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-134-2-111-a.wav,f,111,9-134-2-111-a.wav,a lightning bug (Lampyridae) ,9,bulverde,ʁ,v,134,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-111-a.wav,f,111,9-151-1-111-a.wav,a lightning bug (Lampyridae) ,9,bulverde,ʁ,v,151,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-111-a.wav,m,111,9-153-1-111-a.wav,a lightning bug (Lampyridae) ,9,bulverde,ʁ,v,153,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1926,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/121-453-2-111-a.wav,f,111,121-453-2-111-a.wav,a lightning bug (Lampyridae) ,121,columbus,ʁ,v,453,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-111-a.wav,m,111,1-141-2-111-a.wav,a lightning bug (Lampyridae) ,1,comfort,ʁ,v,141,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-111-a.wav,m,111,10-147-1-111-a.wav,a lightning bug (Lampyridae) ,10,comfort,ʁ,v,147,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/1-391-2-111-a.wav,m,111,1-391-2-111-a.wav,a lightning bug (Lampyridae) ,1,converse,ʁ,v,391,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-114-2-111-a.wav,f,111,1-114-2-111-a.wav,a lightning bug (Lampyridae) ,1,doss,ʁ,v,114,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1959,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-179-2-111-a.wav,m,111,1-179-2-111-a.wav,a lightning bug (Lampyridae) ,1,doss,ʁ,v,179,ein gluehwuermchen,aɪ̯n ˈɡlyːˌvʏʁmçən,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
