Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
0,1948,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-134-2-21-a.wav,f,21,9-134-2-21-a.wav,a hairbrush ,9,bulverde,ʁ,b,134,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-21-a.wav,f,21,9-151-1-21-a.wav,a hairbrush ,9,bulverde,ʁ,b,151,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-21-a.wav,m,21,9-153-1-21-a.wav,a hairbrush ,9,bulverde,ʁ,b,153,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/120-449-2-21-a.wav,f,21,120-449-2-21-a.wav,a hairbrush ,120,columbus,ʁ,b,449,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,120-449-2-21-a,ʏ,0.346,0.425,0.079,0.372,175.35,375.94,2123.24,2541.76,0.398,--undefined--,450.56,1992.36,2508.27,5500 Hz,10,
4,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/15-145-1-21-a.wav,m,21,15-145-1-21-a.wav,a hairbrush ,15,comfort,ʁ,b,145,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/102-395-2-21-a.wav,m,21,102-395-2-21-a.wav,a hairbrush ,102,converse,ʁ,b,395,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,102-395-2-21-a,ʏ,0.206,0.278,0.072,0.230,232.93,461.80,1867.70,2158.20,0.254,250.10,499.40,1776.88,2227.58,5500 Hz,10,
6,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/60-445-2-21-a.wav,f,21,60-445-2-21-a.wav,a hairbrush ,60,"converse, tx",ʁ,b,445,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,60-445-2-21-a,ʏ,1.371,1.484,0.113,1.409,486.78,496.04,2114.08,2685.41,1.446,--undefined--,585.82,1986.33,2656.62,5500 Hz,10,
7,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-114-2-21-a.wav,f,21,1-114-2-21-a.wav,a hairbrush ,1,doss,ʁ,b,114,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1940,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-183-2-21-a.wav,m,21,1-183-2-21-a.wav,a hairbrush ,1,doss,ʁ,b,183,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-56-2-21-a.wav,f,21,1-56-2-21-a.wav,a hairbrush ,1,doss,ʁ,b,56,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-176-1-21-a.wav,m,21,17-176-1-21-a.wav,a hairbrush ,17,doss,ʁ,b,176,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,17-176-1-21-a,ʏ,0.367,0.459,0.092,0.398,427.12,486.56,1702.55,2189.72,0.428,428.24,434.35,1799.00,2500.37,5500 Hz,10,
11,1958,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-181-1-21-a.wav,f,21,17-181-1-21-a.wav,a hairbrush ,17,doss,ʁ,b,181,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-21-a.wav,f,21,17-187-1-21-a.wav,a hairbrush ,17,doss,ʁ,b,187,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/5-113-2-21-a.wav,m,21,5-113-2-21-a.wav,a hairbrush ,5,doss,ʁ,b,113,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/3-98-2-21-a.wav,f,21,3-98-2-21-a.wav,a hairbrush ,3,floresville,ʁ,b,98,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/51-283-3-21-a.wav,f,21,51-283-3-21-a.wav,a hairbrush ,51,floresville,ʁ,b,283,eine haarbuerste,ˈaɪ̯nə haːɐ̯ˈbʏʁstə,ʏ,51-283-3-21-a,ʏ,0.348,0.429,0.081,0.375,163.46,483.30,1606.87,2754.67,0.402,159.33,477.26,1614.81,2767.95,5500 Hz,10,
