Unnamed: 0,dob,file_name,gender,gilbert_number,id,input_form,iver_number,location,post_sound,pre_sound,speaker_number,target_form,transcription,variable,File/Spkr,Vowel,Start,End,Dur,oTime,oPitch,oF1,oF2,oF3,gTime,gPitch,gF1,gF2,gF3,MaxFormants,NumberPoles,Notes
13,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-176-1-125-a.wav,m,125,17-176-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,17,doss,ʁ,k,176,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-178-2-125-a.wav,m,125,17-178-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,17,doss,ʁ,k,178,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-125-a.wav,f,125,17-187-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,17,doss,ʁ,k,187,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/5-113-2-125-a.wav,m,125,5-113-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,5,doss,ʁ,k,113,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1923,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/3-96-2-125-a.wav,m,125,3-96-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,3,floresville,ʁ,k,96,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1945,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-199-2-125-a.wav,f,125,1-199-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,fredericksburg,ʁ,k,199,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-397-2-125-a.wav,m,125,1-397-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,fredericksburg,ʁ,k,397,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-403-2-125-a.wav,m,125,1-403-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,1,fredericksburg,ʁ,k,403,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/107-405-2-125-a.wav,m,125,107-405-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,107,fredericksburg,ʁ,k,405,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-125-a.wav,f,125,110-407-2-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,110,fredericksburg,ʁ,k,407,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-125-a.wav,f,125,110-408-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,110,fredericksburg,ʁ,k,408,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1924,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-125-a.wav,m,125,17-185-1-125-a.wav,a pumpkin (the fruit of Cucurbita pepo) ,17,fredericksburg,ʁ,k,185,ein kuerbis,aɪ̯n ˈkʏʁbɪs,ʏ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
